                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-macos-20.4.1"                                 "CRMATH"                               "20200731"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      548                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  9.4838084384400240E-005                  9.1011143167931052E-001                  1.0638564533734358E-001                  9.9999721941853292E-001                  9.4539842595335000E-001                  9.1011143167931052E-001                  1.0638564533734358E-001                  9.9999721941853292E-001                  9.4539842595335000E-001                 -2.0961892241362207E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0961892241362207E+001                 -2.0961892241362207E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6604703966459851E+000                  2.7858085187129586E+000                  1.5952223025171359E+000                  1.3935727840570915E+000                 -4.3043173874194868E-001                  5.4770554248605849E+000                 -3.5481707291218259E+000                  1.0064257664762371E+001                 -3.5481707291218259E+000                  5.4770554248605849E+000                  6.0649852404472804E-001                  8.6500045567460138E-001                  1.2568948583210038E+000                  7.2999999999999998E-001                  2.5997233076726683E-001                  1.7208036628529942E-003                  4.6696878964201183E-003                  1.7208036628529933E-003                  4.6696878964201183E-003                  1.0219999999999994E+000                  3.6396126307417354E-001                                        0                                        0                                        3 
                                       5                                      549                  7.4416000000000000E-005                 -4.6832750158095005E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  9.4818850562797602E-005                  9.1011143167931030E-001                  1.0638564685720353E-001                  9.9999721941853292E-001                  9.4539842597170709E-001                  9.1011143167931030E-001                  1.0638564685720353E-001                  9.9999721941853292E-001                  9.4539842597170709E-001                 -2.0961893084105501E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0961893084105501E+001                 -2.0961893084105501E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6588249923708847E+000                  2.7790392444897511E+000                  1.5951284739557325E+000                  1.3937604411798981E+000                 -4.0384383185700712E-001                  5.4770554463920158E+000                 -3.5481705911178634E+000                  1.0064257823984832E+001                 -3.5481705911178634E+000                  5.4770554463920158E+000                  6.0649852402902793E-001                  8.6500045567460138E-001                  1.2568948583210038E+000                  7.2999999999999998E-001                  2.5997233076726683E-001                  1.7208036628529942E-003                  4.6696878964201183E-003                  1.7208036628529933E-003                  4.6696878964201183E-003                  1.0219999999999994E+000                  3.6396126307417354E-001                                        0                                        0                                        3 
                                      10                                      545                  2.5958682111999992E-004                 -4.2873687855713767E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  9.4752974859527687E-005                  9.1011143167931030E-001                  1.0638565163298970E-001                  9.9999708705949142E-001                  9.4539842601839919E-001                  9.1011143167931030E-001                  1.0638565163298970E-001                  9.9999708705949142E-001                  9.4539842601839919E-001                 -2.0961895116035908E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0961895116035908E+001                 -2.0961895116035908E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6546211114472804E+000                  2.7617448911555584E+000                  1.5948890591358442E+000                  1.3942392708196747E+000                 -3.4434681173598353E-001                  5.4770555242388070E+000                 -3.5481702615438890E+000                  1.0064258231024697E+001                 -3.5481702615438890E+000                  5.4770555242388070E+000                  6.0649852394524939E-001                  8.6500045567460138E-001                  1.2568948583210038E+000                  7.2999999999999998E-001                  2.5997233076726683E-001                  1.7208036628529942E-003                  4.6696878964201183E-003                  1.7208036628529933E-003                  4.6696878964201183E-003                  1.0219999999999994E+000                  3.6396126307417354E-001                                        0                                        0                                        3 
                                      15                                      549                  7.2035107872931792E-004                 -3.8914625553332525E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  9.4512423477823438E-005                  9.1011143167931008E-001                  1.0638566631715039E-001                  9.9999656930170655E-001                  9.4539842610155556E-001                  9.1011143167931008E-001                  1.0638566631715039E-001                  9.9999656930170655E-001                  9.4539842610155556E-001                 -2.0961898463220127E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0961898463220127E+001                 -2.0961898463220127E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6468724796413370E+000                  2.7298244094999062E+000                  1.5944260819199052E+000                  1.3951652252515525E+000                 -2.5730226207988549E-001                  5.4770557295909983E+000                 -3.5481696960548539E+000                  1.0064259002207701E+001                 -3.5481696960548539E+000                  5.4770557295909983E+000                  6.0649852367577961E-001                  8.6500045567460138E-001                  1.2568948583210038E+000                  7.2999999999999998E-001                  2.5997233076726683E-001                  1.7208036628529942E-003                  4.6696878964201183E-003                  1.7208036628529933E-003                  4.6696878964201183E-003                  1.0219999999999994E+000                  3.6396126307417354E-001                                        0                                        0                                        3 
                                      20                                      545                  1.8668799962237360E-003                 -3.4955563250951283E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  9.3314270809191594E-005                  9.1011143167931030E-001                  1.0638570742298833E-001                  9.9999638805684821E-001                  9.4539842616075154E-001                  9.1011143167931030E-001                  1.0638570742298833E-001                  9.9999638805684821E-001                  9.4539842616075154E-001                 -2.0961901648555632E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0961901648555632E+001                 -2.0961901648555632E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6354092236662288E+000                  2.6824556849782955E+000                  1.5936682316093165E+000                  1.3966809258727300E+000                 -1.5963365364502977E-001                  5.4770561132895086E+000                 -3.5481689252049495E+000                  1.0064260158660929E+001                 -3.5481689252049495E+000                  5.4770561132895086E+000                  6.0649852312670249E-001                  8.6500045567460138E-001                  1.2568948583210038E+000                  7.2999999999999998E-001                  2.5997233076726683E-001                  1.7208036628529942E-003                  4.6696878964201183E-003                  1.7208036628529933E-003                  4.6696878964201183E-003                  1.0219999999999994E+000                  3.6396126307417354E-001                                        0                                        0                                        3 
                                      25                                      546                  4.7198108322034464E-003                 -3.0996500948570045E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  8.4995461317402296E-005                  9.1011143167931008E-001                  1.0638576281448257E-001                  9.4182339872963816E-002                  3.8529563510572885E-002                  9.1011143167931008E-001                  1.0638576281448257E-001                  9.4182339872963816E-002                  3.8529563510572885E-002                 -2.0961900539924212E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0961900539924212E+001                 -2.0961900539924212E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6228445281509911E+000                  2.6301643204289200E+000                  1.5926519403651049E+000                  1.3987135083611535E+000                 -8.0496597862291061E-002                  5.4770566535533360E+000                 -3.5481680209093858E+000                  1.0064261606704795E+001                 -3.5481680209093858E+000                  5.4770566535533360E+000                  6.0649852232470169E-001                  8.6500045567460138E-001                  1.2568948583210038E+000                  7.2999999999999998E-001                  2.5997233076726683E-001                  1.7208036628529942E-003                  4.6696878964201183E-003                  1.7208036628529933E-003                  4.6696878964201183E-003                  1.0219999999999994E+000                  3.6396126307417354E-001                                        0                                        0                                        3 
                                      30                                      543                  1.1818815689988476E-002                 -2.7037438646188803E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  5.4473781732318972E-005                  9.1011143167931008E-001                  1.0638589392545493E-001                  9.9999538491276008E-001                  9.3868507148927038E-001                  9.1011143167931008E-001                  1.0638589392545493E-001                  9.9999538491276008E-001                  9.3868507148927038E-001                 -2.0961889491890979E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0961889491890979E+001                 -2.0961889491890979E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6127358310211433E+000                  2.5875001886291038E+000                  1.5915372687248925E+000                  1.4009428516415781E+000                 -3.3310924492796892E-002                  5.4770574912175185E+000                 -3.5481667253772300E+000                  1.0064263745775852E+001                 -3.5481667253772300E+000                  5.4770574912175185E+000                  6.0649852106424318E-001                  8.6500045567460138E-001                  1.2568948583210038E+000                  7.2999999999999998E-001                  2.5997233076726683E-001                  1.7208036628529942E-003                  4.6696878964201183E-003                  1.7208036628529933E-003                  4.6696878964201183E-003                  1.0219999999999994E+000                  3.6396126307417354E-001                                        0                                        0                                        5 
                                      35                                      544                  2.9483411457712123E-002                 -2.3078376343807565E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  5.4441753544596326E-005                  9.1011143167930986E-001                  1.0638652438052298E-001                  9.9999517931933202E-001                  9.3316535781596355E-001                  9.1011143167930986E-001                  1.0638652438052298E-001                  9.9999517931933202E-001                  9.3316535781596355E-001                 -2.0961856076279343E+001                 -9.8999999999999986E+001                 -3.6725659471005699E+001                 -2.0961856076279343E+001                 -2.0961856076279343E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6066230107579256E+000                  2.5610283685000015E+000                  1.5905269991867763E+000                  1.4029633907178105E+000                 -1.1270040707633924E-002                  5.4770593596827153E+000                 -3.5481638824576716E+000                  1.0064268470472154E+001                 -3.5481638824576716E+000                  5.4770593596827153E+000                  6.0649851824530743E-001                  8.6500045567460138E-001                  1.2568948583210038E+000                  7.2999999999999998E-001                  2.5997233076726683E-001                  1.7208036628529942E-003                  4.6696878964201183E-003                  1.7208036628529933E-003                  4.6696878964201183E-003                  1.0219999999999994E+000                  3.6396126307417354E-001                                        0                                        0                                        5 
                                      40                                      541                  7.3438578398454205E-002                 -1.9119314041426323E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  5.2640586267567924E-005                  9.1011143167930986E-001                  5.1356263269651502E-002                  9.9999517931933202E-001                  9.2510379322170000E-001                  9.1011143167930986E-001                  5.1356263269651502E-002                  9.9999517931933202E-001                  9.2510379322170000E-001                 -2.0961750983637508E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0961750983637508E+001                 -2.0961750983637508E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6038989689922012E+000                  2.5486357744762218E+000                  1.5897787857063344E+000                  1.4044598176786944E+000                 -3.0786583256235270E-003                  5.4770650062944117E+000                 -3.5481553051010661E+000                  1.0064282734731295E+001                 -3.5481553051010661E+000                  5.4770650062944117E+000                  6.0649850972467090E-001                  8.6500045567460138E-001                  1.2568948583210038E+000                  7.2999999999999998E-001                  2.5997233076726683E-001                  1.7208036628529942E-003                  4.6696878964201183E-003                  1.7208036628529933E-003                  4.6696878964201183E-003                  1.0219999999999994E+000                  3.6396126307417354E-001                                        0                                        0                                        5 
